"country","name","continent","year","lifeExp","pop","gdpPercap"
"1","arg","Argentina","Americas",1800-01-01,33.2,534000,NA
"2","arg","Argentina","Americas",1805-01-01,33.2,465622,NA
"3","arg","Argentina","Americas",1810-01-01,33.2,419661,NA
"4","arg","Argentina","Americas",1815-01-01,33.2,465972,NA
"5","arg","Argentina","Americas",1820-01-01,33.2,530996,NA
"6","arg","Argentina","Americas",1825-01-01,33.2,582027,NA
"7","arg","Argentina","Americas",1830-01-01,33.2,634974,NA
"8","arg","Argentina","Americas",1835-01-01,33.2,698047,NA
"9","arg","Argentina","Americas",1840-01-01,33.2,776366,NA
"10","arg","Argentina","Americas",1845-01-01,33.2,920317,NA
"11","arg","Argentina","Americas",1850-01-01,33.2,1088372,NA
"12","arg","Argentina","Americas",1855-01-01,33.2,1197431,NA
"13","arg","Argentina","Americas",1860-01-01,33.2,1315328,NA
"14","arg","Argentina","Americas",1865-01-01,33.2,1529696,NA
"15","arg","Argentina","Americas",1870-01-01,33.2,1793839,NA
"16","arg","Argentina","Americas",1875-01-01,33.26,2099952,NA
"17","arg","Argentina","Americas",1880-01-01,33.23,2457663,NA
"18","arg","Argentina","Americas",1885-01-01,32.79,2876307,NA
"19","arg","Argentina","Americas",1890-01-01,34.26,3369205,NA
"20","arg","Argentina","Americas",1895-01-01,33.62,3967341,NA
"21","arg","Argentina","Americas",1900-01-01,37.22,4689224,NA
"22","arg","Argentina","Americas",1905-01-01,40.23,5641825,NA
"23","arg","Argentina","Americas",1910-01-01,44.17,6755700,NA
"24","arg","Argentina","Americas",1915-01-01,46.99,7739100,NA
"25","arg","Argentina","Americas",1920-01-01,51.16,8828805,NA
"26","arg","Argentina","Americas",1925-01-01,53.71,10209150,NA
"27","arg","Argentina","Americas",1930-01-01,55.55,11740751,NA
"28","arg","Argentina","Americas",1935-01-01,55.65,12902500,NA
"29","arg","Argentina","Americas",1940-01-01,60.68,14095334,NA
"30","arg","Argentina","Americas",1945-01-01,63.78,15492994,NA
"31","arg","Argentina","Americas",1950-01-01,63.3,17037910,NA
"32","arg","Argentina","Americas",1955-01-01,64.51,18789415,NA
"33","arg","Argentina","Americas",1960-01-01,65.26,20481781,5642.76459
"34","arg","Argentina","Americas",1965-01-01,66.13,22159644,6286.23105
"35","arg","Argentina","Americas",1970-01-01,66.13,23880564,7084.18059
"36","arg","Argentina","Americas",1975-01-01,68.03,25865775,7617.94345
"37","arg","Argentina","Americas",1980-01-01,70.23,27896532,7908.02148
"38","arg","Argentina","Americas",1985-01-01,71.73,30216284,6904.6439
"39","arg","Argentina","Americas",1990-01-01,72.47,32618648,6245.70915
"40","arg","Argentina","Americas",1995-01-01,73.44,34828168,7666.53044
"41","arg","Argentina","Americas",2000-01-01,74.22,36870796,8224.11082
"42","arg","Argentina","Americas",2005-01-01,75.28,38892924,8577.86654
"43","arg","Argentina","Americas",2010-01-01,75.94,40895751,10385.96443
"44","arg","Argentina","Americas",2015-01-01,76.5,43075416,10568.15781
"45","arg","Argentina","Americas",2019-01-01,76.58,44780675,9742.45542
"46","aus","Australia","Oceania",1800-01-01,34.05,200000,NA
"47","aus","Australia","Oceania",1805-01-01,34.05,227357,NA
"48","aus","Australia","Oceania",1810-01-01,34.05,258627,NA
"49","aus","Australia","Oceania",1815-01-01,34.05,294004,NA
"50","aus","Australia","Oceania",1820-01-01,34.05,328728,NA
"51","aus","Australia","Oceania",1825-01-01,34.05,331994,NA
"52","aus","Australia","Oceania",1830-01-01,34.05,335111,NA
"53","aus","Australia","Oceania",1835-01-01,34.05,372507,NA
"54","aus","Australia","Oceania",1840-01-01,34.05,423526,NA
"55","aus","Australia","Oceania",1845-01-01,34.05,504755,NA
"56","aus","Australia","Oceania",1850-01-01,34.05,622584,NA
"57","aus","Australia","Oceania",1855-01-01,34.05,900180,NA
"58","aus","Australia","Oceania",1860-01-01,34.05,1288328,NA
"59","aus","Australia","Oceania",1865-01-01,34.05,1530266,NA
"60","aus","Australia","Oceania",1870-01-01,34.05,1759825,NA
"61","aus","Australia","Oceania",1875-01-01,36.71,1964507,NA
"62","aus","Australia","Oceania",1880-01-01,39.37,2201397,NA
"63","aus","Australia","Oceania",1885-01-01,42.03,2595146,NA
"64","aus","Australia","Oceania",1890-01-01,44.7,3051572,NA
"65","aus","Australia","Oceania",1895-01-01,47.36,3375822,NA
"66","aus","Australia","Oceania",1900-01-01,50.03,3693392,NA
"67","aus","Australia","Oceania",1905-01-01,52.7,3996345,NA
"68","aus","Australia","Oceania",1910-01-01,55.37,4329104,NA
